created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Wed Aug 30 03:34:29 +0000 2023;1696728068801679402;"@txtdrpemerintah Bapak polusi dan pedagang batrai disuruh ngatasin polusi wkakwka. Kasih warga mobil listrik gratis pak";0;0;0;0;in;1289114098542587904;1696387138143871185;RenjerHijau;https://twitter.com/RenjerHijau/status/1696728068801679402
Wed Aug 30 03:34:13 +0000 2023;1696727998165295387;"@fhnmandaxx @Becareandwise @tsugi5438 @KompasTV Yg penting mah cuan, bodo amat itu polusi, begitu kira2 🤭";0;0;0;0;in;1603587739546374147;1696337411427688721;Hadi230385;https://twitter.com/Hadi230385/status/1696727998165295387
Wed Aug 30 03:32:08 +0000 2023;1696727474988859569;"Membahas kualitas udara, Jakarta lagi ramai jadi bahan pembicaraan nih karena polusi yang terjadi saat ini, detikers. Lantas apa sih bahayanya polusi udara terhadap tubuh jika terjadi dalam jangka panjang? Yuk kita bahas bareng Dr. dr. Erlina Burhan, https://t.co/XjqaMb9n1s,… https://t.co/Y6pd6uFcWB";0;0;0;0;in;69183155;1696684209430241439;detikcom;https://twitter.com/detikcom/status/1696727474988859569
Wed Aug 30 03:31:36 +0000 2023;1696727339798061521;"@Metro_TV @jokowi Yess udah diresmikan semogaaa mengurangi kemacetan banysk masyarakat yang naik LRT dan ngurangin polusi jugaa";0;0;0;0;in;1670770419165696000;1696040455971217833;lilycantik__;https://twitter.com/lilycantik__/status/1696727339798061521
Wed Aug 30 03:30:43 +0000 2023;1696727118275834100;"Sudah buanyak laporan warga terganggu ulah voorijder &amp  yg dikawal bikin berisik Polusi Suara di jalanan dan arogan. Terus Polisi @TMCPoldaMetro @korlantasid @DivHumas_Polri @NTMC_Info @ListyoSigitP sudah melakukan apa sejauh ini?? Diem aja. Pak @jokowi tolong perhatiannya. https://t.co/Ud2tXMIZy2";0;0;0;0;in;2527149301;1696727118275834100;No_Nyampah;https://twitter.com/No_Nyampah/status/1696727118275834100
Wed Aug 30 03:30:32 +0000 2023;1696727074671910964;"@CNNIndonesia Suruh isep sekalian semua polusi yg ada dijakarta sama lbp..";0;0;0;0;in;1559848144665718784;1696468510271213717;MangAdangOge;https://twitter.com/MangAdangOge/status/1696727074671910964
Wed Aug 30 03:30:20 +0000 2023;1696727021349748897;"Selain ISPA, paparan polusi udara juga menyebabkan gangguan pernafasan lainnya.   Berikut ini daftar penyakit pernafasan tertinggi di dunia maupun Indonesia akibat dari polusi udara yang tinggi ⬇️ https://t.co/Frod4jQjF2";0;0;1;1;in;161236190;1696724639354179649;KemenkesRI;https://twitter.com/KemenkesRI/status/1696727021349748897
Wed Aug 30 03:30:03 +0000 2023;1696726952877662424;"@tirta_cipeng Polusi Jakarta memang parah sih saat weekday dan work hours. Tapi Jakarta terlalu manis untuk dilewatkan dari pilihan kota impian mengejar karir.  Terlebih disana ada banyak previlege yg ga bisa kita dapat selain dari hidup disana.";0;0;0;0;in;241794598;1696499687606661582;fariz_kamal;https://twitter.com/fariz_kamal/status/1696726952877662424
Wed Aug 30 03:29:37 +0000 2023;1696726843150434330;"Depok Juara Polusi Udara Terburuk Pagi Ini, Jakarta Masuk 5 Besar https://t.co/ji5TAZINEP";0;0;0;5;in;17128975;1696726843150434330;CNNIndonesia;https://twitter.com/CNNIndonesia/status/1696726843150434330
Wed Aug 30 03:29:36 +0000 2023;1696726839350440008;"Polusi Udara Jakarta Terburuk Kedua Dunia per Rabu 30 Agustus 2023 https://t.co/Ih63voJV9i";0;0;0;0;in;388190238;1696726839350440008;IDNTimes;https://twitter.com/IDNTimes/status/1696726839350440008
Wed Aug 30 03:28:45 +0000 2023;1696726622941085740;"@NamHwanseo Pakai masker, krn polusi bikin pada sakit";0;0;0;0;in;882803408154927104;1696031050240340293;agusoei2;https://twitter.com/agusoei2/status/1696726622941085740
